,Title,Rating,Review,Review_Date
0,"5.0 out of 5 stars
very good product",5.0,"its value for money and look stylish
Read more",Reviewed in India on 3 November 2023
1,"1.0 out of 5 stars
Third class product",1.0,"Very third class productAfter one day of my use automatic it should stop very sad .I loss 300 rupees I request not sell this type of product
Read more",Reviewed in India on 20 November 2023
2,"3.0 out of 5 stars
An ordinary watch but is fine considering the price.",3.0,"I purchased it for Rs. 349 on festival sale. The printed price is Rs.2199.Pros-1. The material used is fine.2. The watch dial is large. So watching the time is easy.3. The dates of 2 days before and after the present day are shown.4. The day is also shown.5. The holes on the strap give the luxury of reducing or increasing the size of the strap according to the wrist size of the wearer.6. The key used to change the time, day and date is also big enough to operate comfortably.7. Cheap.Cons-1. The strap material is not good.2. The looks are not that good as shown in the product picture.Final comment- If you are short on the budget then only go for it. It is good value for money but if you have a good budget, stay away from this watch.
Read more",Reviewed in India on 16 October 2018
3,"4.0 out of 5 stars
look",4.0,"look is good for some time like 6 to 7 months after then shine is lost
Read more",Reviewed in India on 17 October 2023
4,"5.0 out of 5 stars
Value for money",5.0,"Built quality, water resistant and quality is good
Read more",Reviewed in India on 13 November 2023
5,"2.0 out of 5 stars
Good product",2.0,"Average product does not fullfill my requirement
Read more",Reviewed in India on 24 October 2023
6,"5.0 out of 5 stars
Love it",5.0,"This is the best watch at this price. . I love its design  . It's battery is also good
Read more",Reviewed in India on 5 November 2023
7,"1.0 out of 5 stars
Worst",1.0,"Purchase/delivery on 3rd Nov'23.... Gave surprise to my kid on 12th Nov'23.... He returned the surprise to me on 15th Nov'23 as product not working.Our return/exchange date was13th Nov'23....😬😬😵‍💫😵‍💫
Read more",Reviewed in India on 26 November 2023
8,"5.0 out of 5 stars
very good product",5.0,"its value for money and look stylish
Read more",Reviewed in India on 3 November 2023
9,"1.0 out of 5 stars
Third class product",1.0,"Very third class productAfter one day of my use automatic it should stop very sad .I loss 300 rupees I request not sell this type of product
Read more",Reviewed in India on 20 November 2023
10,"3.0 out of 5 stars
An ordinary watch but is fine considering the price.",3.0,"I purchased it for Rs. 349 on festival sale. The printed price is Rs.2199.Pros-1. The material used is fine.2. The watch dial is large. So watching the time is easy.3. The dates of 2 days before and after the present day are shown.4. The day is also shown.5. The holes on the strap give the luxury of reducing or increasing the size of the strap according to the wrist size of the wearer.6. The key used to change the time, day and date is also big enough to operate comfortably.7. Cheap.Cons-1. The strap material is not good.2. The looks are not that good as shown in the product picture.Final comment- If you are short on the budget then only go for it. It is good value for money but if you have a good budget, stay away from this watch.
Read more",Reviewed in India on 16 October 2018
11,"4.0 out of 5 stars
look",4.0,"look is good for some time like 6 to 7 months after then shine is lost
Read more",Reviewed in India on 17 October 2023
12,"5.0 out of 5 stars
Value for money",5.0,"Built quality, water resistant and quality is good
Read more",Reviewed in India on 13 November 2023
13,"2.0 out of 5 stars
Good product",2.0,"Average product does not fullfill my requirement
Read more",Reviewed in India on 24 October 2023
14,"5.0 out of 5 stars
Love it",5.0,"This is the best watch at this price. . I love its design  . It's battery is also good
Read more",Reviewed in India on 5 November 2023
15,"1.0 out of 5 stars
Worst",1.0,"Purchase/delivery on 3rd Nov'23.... Gave surprise to my kid on 12th Nov'23.... He returned the surprise to me on 15th Nov'23 as product not working.Our return/exchange date was13th Nov'23....😬😬😵‍💫😵‍💫
Read more",Reviewed in India on 26 November 2023
16,"5.0 out of 5 stars
very good product",5.0,"its value for money and look stylish
Read more",Reviewed in India on 3 November 2023
17,"1.0 out of 5 stars
Third class product",1.0,"Very third class productAfter one day of my use automatic it should stop very sad .I loss 300 rupees I request not sell this type of product
Read more",Reviewed in India on 20 November 2023
18,"3.0 out of 5 stars
An ordinary watch but is fine considering the price.",3.0,"I purchased it for Rs. 349 on festival sale. The printed price is Rs.2199.Pros-1. The material used is fine.2. The watch dial is large. So watching the time is easy.3. The dates of 2 days before and after the present day are shown.4. The day is also shown.5. The holes on the strap give the luxury of reducing or increasing the size of the strap according to the wrist size of the wearer.6. The key used to change the time, day and date is also big enough to operate comfortably.7. Cheap.Cons-1. The strap material is not good.2. The looks are not that good as shown in the product picture.Final comment- If you are short on the budget then only go for it. It is good value for money but if you have a good budget, stay away from this watch.
Read more",Reviewed in India on 16 October 2018
19,"4.0 out of 5 stars
look",4.0,"look is good for some time like 6 to 7 months after then shine is lost
Read more",Reviewed in India on 17 October 2023
20,"5.0 out of 5 stars
Value for money",5.0,"Built quality, water resistant and quality is good
Read more",Reviewed in India on 13 November 2023
21,"2.0 out of 5 stars
Good product",2.0,"Average product does not fullfill my requirement
Read more",Reviewed in India on 24 October 2023
22,"5.0 out of 5 stars
Love it",5.0,"This is the best watch at this price. . I love its design  . It's battery is also good
Read more",Reviewed in India on 5 November 2023
23,"1.0 out of 5 stars
Worst",1.0,"Purchase/delivery on 3rd Nov'23.... Gave surprise to my kid on 12th Nov'23.... He returned the surprise to me on 15th Nov'23 as product not working.Our return/exchange date was13th Nov'23....😬😬😵‍💫😵‍💫
Read more",Reviewed in India on 26 November 2023
24,"5.0 out of 5 stars
very good product",5.0,"its value for money and look stylish
Read more",Reviewed in India on 3 November 2023
25,"1.0 out of 5 stars
Third class product",1.0,"Very third class productAfter one day of my use automatic it should stop very sad .I loss 300 rupees I request not sell this type of product
Read more",Reviewed in India on 20 November 2023
26,"3.0 out of 5 stars
An ordinary watch but is fine considering the price.",3.0,"I purchased it for Rs. 349 on festival sale. The printed price is Rs.2199.Pros-1. The material used is fine.2. The watch dial is large. So watching the time is easy.3. The dates of 2 days before and after the present day are shown.4. The day is also shown.5. The holes on the strap give the luxury of reducing or increasing the size of the strap according to the wrist size of the wearer.6. The key used to change the time, day and date is also big enough to operate comfortably.7. Cheap.Cons-1. The strap material is not good.2. The looks are not that good as shown in the product picture.Final comment- If you are short on the budget then only go for it. It is good value for money but if you have a good budget, stay away from this watch.
Read more",Reviewed in India on 16 October 2018
