,Title,Rating,Review,Review_Date
59,"1.0 out of 5 stars
Too expensive",1.0,"The product is highly expensive than it's usability. Moreover, the touch function is worst. They the Pencil given with is not at all usable. They should have given better Pencil or have reduced the price. Using this product from last one year.
Read more", 10 April 2023
60,"5.0 out of 5 stars
Good portables screen",5.0,"It's useful and portable. Overall no issues so far except sound from the monitor is low. You have to have bluetooth speaker connected.
Read more", 16 February 2023
61,"3.0 out of 5 stars
Monitor is pretty good but Do not buy this from amazon",3.0,"Monitor is pretty good but do not buy from amazon as the seller sends an old model of the touch pen with wierd outdated technology of tip (single tip non removable) and amazon is not willing to replace it as the pen is not mentioned as included item in the contents on its page however the pen is indeed an included accessory with this monitor.
Read more", 8 November 2023
62,"5.0 out of 5 stars
Awesome Product Go for It",5.0,"It is out of this world my dream of bezel less portable touch screen monitor completed with this product for MacBook Air 2017 , touch screen working with Hackintosh PC too containing Quad boot Setup Of Windows 10 WinToGo, Ubuntu external , Pheonix OS external SSD with YouTube Vanced Swipe Up pinch to Zoom All perfectly working i am amaze using it but whenever I kept connected  USB Type A to USB Type C for touch functionality it try to take power from CPU to power UP the monitor but unable to power why is that so?
Read more", 27 July 2021
63,"4.0 out of 5 stars
Bit costly, But very useful",4.0,"If you are looking for the portable touch monitor this is the right onePros1) Light weight2) Touch was smooth3) Multi connectivity4) Easy to carry in traveling5) Easy to connect with Laptop / PC, Mobile, Mi Box and Play Station6) Touch worked with HDMI (Use HDMI - Mini HDMI + Type C - Type A cable to machine, If you don't have Type C) & Type C (Just connect Type C - Type C cable, If your machine capable  for external display)7) All cables included in the box with 60watts charger8) Special thanks for providing the magnetic protection cover in box9) Picture Colors were goodCons1) Worst stylus included in box and we need hit the touch screen to use it, which leads to disturb / fell down2) I hope hinges will not last long3) Due to glossy display it gives mirror effect, which is disturbing me a bit4) Worst speakers but we have 3.5 jack to connect external speakers
Read more", 29 July 2021
64,"5.0 out of 5 stars
Great portable touch screen monitor",5.0,"It is a great product and i am fully satisfied till now. It has a touch screen feature if connected to type c cable. It comes with a good quality accessories like PD type c cable, Type A to type c cable, hdmi input (mobile or laptop) to mini hdmi output (monitor). I have ROG phone 3 with Android 10 and it works well with it. I played Call of duty Mobile without any lag when connected with my phone. I also tried Amazon firestick and it works well (obviously without touch because it is connected with hdmi) Few things to note1. Touch screen will only work if you connect with Type C cable.2. If you are android user, make sure you have display out facility in your mobile. One Plus 6 does not have it.3. Touch screen will not work with hdmi cable.4. You won't need stylus because touch works very good. Stylus is not that good as it misses sometimes.5. Keep hdmi cable safe and secure because i could not find any alternate cable in market which has mini hdmi output. All other cables are mini hdmi input cables which goes into your cameras.6. The charger is of 60 Watts but the monitor requires only 10 watts. Rest all 50 watt will go to your mobile or laptop for charging which is great.7. Sound is not good. Who expects great sound from monitor. You can connect to 3.5 Jack if you want. You will connect this monitor with either mobile or computer which already has Bluetooth, and 3.5 Jack.8. Menu is not great but it is fine as it gets the job done.9. Build quality is good with aluminium back plate.10. If you need it for gaming, graphic designing, then don't go for it as it is only 60hz monitor with not accurate color rendering.
Read more", 20 July 2021
65,"4.0 out of 5 stars
It's best only with Type C 3.1 devices!!!",4.0,"Product is good but but buy only if you have type C3.1 devices and those devices are more costly than this, like starts from 30k and only few smartphones like Samsung, Pixel are having Type C3.1, So think before buying!!!!It's best if you already have those devices OrIf you can afford additional big bucks to get those devices!!!HDMI function doesn't support touch for Mobiles!!!So finally it's both Good and Not Good product because it's not good standalone, you have to buy it's relatives 😅 to make it good.
Read more", 31 March 2022
66,"5.0 out of 5 stars
With Mac mini m2 touchscreen",5.0,"This product touchscreen is working with Mac mini m2 only thing which is not good is there stylus which will get break easily and you need to buy different stylus for auto CAD
Read more", 18 November 2023
67,"1.0 out of 5 stars
Too expensive",1.0,"The product is highly expensive than it's usability. Moreover, the touch function is worst. They the Pencil given with is not at all usable. They should have given better Pencil or have reduced the price. Using this product from last one year.
Read more", 10 April 2023
68,"5.0 out of 5 stars
Good portables screen",5.0,"It's useful and portable. Overall no issues so far except sound from the monitor is low. You have to have bluetooth speaker connected.
Read more", 16 February 2023
69,"3.0 out of 5 stars
Monitor is pretty good but Do not buy this from amazon",3.0,"Monitor is pretty good but do not buy from amazon as the seller sends an old model of the touch pen with wierd outdated technology of tip (single tip non removable) and amazon is not willing to replace it as the pen is not mentioned as included item in the contents on its page however the pen is indeed an included accessory with this monitor.
Read more", 8 November 2023
70,"5.0 out of 5 stars
Awesome Product Go for It",5.0,"It is out of this world my dream of bezel less portable touch screen monitor completed with this product for MacBook Air 2017 , touch screen working with Hackintosh PC too containing Quad boot Setup Of Windows 10 WinToGo, Ubuntu external , Pheonix OS external SSD with YouTube Vanced Swipe Up pinch to Zoom All perfectly working i am amaze using it but whenever I kept connected  USB Type A to USB Type C for touch functionality it try to take power from CPU to power UP the monitor but unable to power why is that so?
Read more", 27 July 2021
71,"4.0 out of 5 stars
Bit costly, But very useful",4.0,"If you are looking for the portable touch monitor this is the right onePros1) Light weight2) Touch was smooth3) Multi connectivity4) Easy to carry in traveling5) Easy to connect with Laptop / PC, Mobile, Mi Box and Play Station6) Touch worked with HDMI (Use HDMI - Mini HDMI + Type C - Type A cable to machine, If you don't have Type C) & Type C (Just connect Type C - Type C cable, If your machine capable  for external display)7) All cables included in the box with 60watts charger8) Special thanks for providing the magnetic protection cover in box9) Picture Colors were goodCons1) Worst stylus included in box and we need hit the touch screen to use it, which leads to disturb / fell down2) I hope hinges will not last long3) Due to glossy display it gives mirror effect, which is disturbing me a bit4) Worst speakers but we have 3.5 jack to connect external speakers
Read more", 29 July 2021
72,"5.0 out of 5 stars
Great portable touch screen monitor",5.0,"It is a great product and i am fully satisfied till now. It has a touch screen feature if connected to type c cable. It comes with a good quality accessories like PD type c cable, Type A to type c cable, hdmi input (mobile or laptop) to mini hdmi output (monitor). I have ROG phone 3 with Android 10 and it works well with it. I played Call of duty Mobile without any lag when connected with my phone. I also tried Amazon firestick and it works well (obviously without touch because it is connected with hdmi) Few things to note1. Touch screen will only work if you connect with Type C cable.2. If you are android user, make sure you have display out facility in your mobile. One Plus 6 does not have it.3. Touch screen will not work with hdmi cable.4. You won't need stylus because touch works very good. Stylus is not that good as it misses sometimes.5. Keep hdmi cable safe and secure because i could not find any alternate cable in market which has mini hdmi output. All other cables are mini hdmi input cables which goes into your cameras.6. The charger is of 60 Watts but the monitor requires only 10 watts. Rest all 50 watt will go to your mobile or laptop for charging which is great.7. Sound is not good. Who expects great sound from monitor. You can connect to 3.5 Jack if you want. You will connect this monitor with either mobile or computer which already has Bluetooth, and 3.5 Jack.8. Menu is not great but it is fine as it gets the job done.9. Build quality is good with aluminium back plate.10. If you need it for gaming, graphic designing, then don't go for it as it is only 60hz monitor with not accurate color rendering.
Read more", 20 July 2021
73,"4.0 out of 5 stars
It's best only with Type C 3.1 devices!!!",4.0,"Product is good but but buy only if you have type C3.1 devices and those devices are more costly than this, like starts from 30k and only few smartphones like Samsung, Pixel are having Type C3.1, So think before buying!!!!It's best if you already have those devices OrIf you can afford additional big bucks to get those devices!!!HDMI function doesn't support touch for Mobiles!!!So finally it's both Good and Not Good product because it's not good standalone, you have to buy it's relatives 😅 to make it good.
Read more", 31 March 2022
74,"5.0 out of 5 stars
With Mac mini m2 touchscreen",5.0,"This product touchscreen is working with Mac mini m2 only thing which is not good is there stylus which will get break easily and you need to buy different stylus for auto CAD
Read more", 18 November 2023
75,"1.0 out of 5 stars
Too expensive",1.0,"The product is highly expensive than it's usability. Moreover, the touch function is worst. They the Pencil given with is not at all usable. They should have given better Pencil or have reduced the price. Using this product from last one year.
Read more", 10 April 2023
76,"5.0 out of 5 stars
Good portables screen",5.0,"It's useful and portable. Overall no issues so far except sound from the monitor is low. You have to have bluetooth speaker connected.
Read more", 16 February 2023
77,"3.0 out of 5 stars
Monitor is pretty good but Do not buy this from amazon",3.0,"Monitor is pretty good but do not buy from amazon as the seller sends an old model of the touch pen with wierd outdated technology of tip (single tip non removable) and amazon is not willing to replace it as the pen is not mentioned as included item in the contents on its page however the pen is indeed an included accessory with this monitor.
Read more", 8 November 2023
78,"5.0 out of 5 stars
Awesome Product Go for It",5.0,"It is out of this world my dream of bezel less portable touch screen monitor completed with this product for MacBook Air 2017 , touch screen working with Hackintosh PC too containing Quad boot Setup Of Windows 10 WinToGo, Ubuntu external , Pheonix OS external SSD with YouTube Vanced Swipe Up pinch to Zoom All perfectly working i am amaze using it but whenever I kept connected  USB Type A to USB Type C for touch functionality it try to take power from CPU to power UP the monitor but unable to power why is that so?
Read more", 27 July 2021
79,"4.0 out of 5 stars
Bit costly, But very useful",4.0,"If you are looking for the portable touch monitor this is the right onePros1) Light weight2) Touch was smooth3) Multi connectivity4) Easy to carry in traveling5) Easy to connect with Laptop / PC, Mobile, Mi Box and Play Station6) Touch worked with HDMI (Use HDMI - Mini HDMI + Type C - Type A cable to machine, If you don't have Type C) & Type C (Just connect Type C - Type C cable, If your machine capable  for external display)7) All cables included in the box with 60watts charger8) Special thanks for providing the magnetic protection cover in box9) Picture Colors were goodCons1) Worst stylus included in box and we need hit the touch screen to use it, which leads to disturb / fell down2) I hope hinges will not last long3) Due to glossy display it gives mirror effect, which is disturbing me a bit4) Worst speakers but we have 3.5 jack to connect external speakers
Read more", 29 July 2021
80,"5.0 out of 5 stars
Great portable touch screen monitor",5.0,"It is a great product and i am fully satisfied till now. It has a touch screen feature if connected to type c cable. It comes with a good quality accessories like PD type c cable, Type A to type c cable, hdmi input (mobile or laptop) to mini hdmi output (monitor). I have ROG phone 3 with Android 10 and it works well with it. I played Call of duty Mobile without any lag when connected with my phone. I also tried Amazon firestick and it works well (obviously without touch because it is connected with hdmi) Few things to note1. Touch screen will only work if you connect with Type C cable.2. If you are android user, make sure you have display out facility in your mobile. One Plus 6 does not have it.3. Touch screen will not work with hdmi cable.4. You won't need stylus because touch works very good. Stylus is not that good as it misses sometimes.5. Keep hdmi cable safe and secure because i could not find any alternate cable in market which has mini hdmi output. All other cables are mini hdmi input cables which goes into your cameras.6. The charger is of 60 Watts but the monitor requires only 10 watts. Rest all 50 watt will go to your mobile or laptop for charging which is great.7. Sound is not good. Who expects great sound from monitor. You can connect to 3.5 Jack if you want. You will connect this monitor with either mobile or computer which already has Bluetooth, and 3.5 Jack.8. Menu is not great but it is fine as it gets the job done.9. Build quality is good with aluminium back plate.10. If you need it for gaming, graphic designing, then don't go for it as it is only 60hz monitor with not accurate color rendering.
Read more", 20 July 2021
81,"4.0 out of 5 stars
It's best only with Type C 3.1 devices!!!",4.0,"Product is good but but buy only if you have type C3.1 devices and those devices are more costly than this, like starts from 30k and only few smartphones like Samsung, Pixel are having Type C3.1, So think before buying!!!!It's best if you already have those devices OrIf you can afford additional big bucks to get those devices!!!HDMI function doesn't support touch for Mobiles!!!So finally it's both Good and Not Good product because it's not good standalone, you have to buy it's relatives 😅 to make it good.
Read more", 31 March 2022
82,"5.0 out of 5 stars
With Mac mini m2 touchscreen",5.0,"This product touchscreen is working with Mac mini m2 only thing which is not good is there stylus which will get break easily and you need to buy different stylus for auto CAD
Read more", 18 November 2023
83,"1.0 out of 5 stars
Too expensive",1.0,"The product is highly expensive than it's usability. Moreover, the touch function is worst. They the Pencil given with is not at all usable. They should have given better Pencil or have reduced the price. Using this product from last one year.
Read more", 10 April 2023
84,"5.0 out of 5 stars
Good portables screen",5.0,"It's useful and portable. Overall no issues so far except sound from the monitor is low. You have to have bluetooth speaker connected.
Read more", 16 February 2023
85,"3.0 out of 5 stars
Monitor is pretty good but Do not buy this from amazon",3.0,"Monitor is pretty good but do not buy from amazon as the seller sends an old model of the touch pen with wierd outdated technology of tip (single tip non removable) and amazon is not willing to replace it as the pen is not mentioned as included item in the contents on its page however the pen is indeed an included accessory with this monitor.
Read more", 8 November 2023
86,"5.0 out of 5 stars
Awesome Product Go for It",5.0,"It is out of this world my dream of bezel less portable touch screen monitor completed with this product for MacBook Air 2017 , touch screen working with Hackintosh PC too containing Quad boot Setup Of Windows 10 WinToGo, Ubuntu external , Pheonix OS external SSD with YouTube Vanced Swipe Up pinch to Zoom All perfectly working i am amaze using it but whenever I kept connected  USB Type A to USB Type C for touch functionality it try to take power from CPU to power UP the monitor but unable to power why is that so?
Read more", 27 July 2021
87,"4.0 out of 5 stars
Bit costly, But very useful",4.0,"If you are looking for the portable touch monitor this is the right onePros1) Light weight2) Touch was smooth3) Multi connectivity4) Easy to carry in traveling5) Easy to connect with Laptop / PC, Mobile, Mi Box and Play Station6) Touch worked with HDMI (Use HDMI - Mini HDMI + Type C - Type A cable to machine, If you don't have Type C) & Type C (Just connect Type C - Type C cable, If your machine capable  for external display)7) All cables included in the box with 60watts charger8) Special thanks for providing the magnetic protection cover in box9) Picture Colors were goodCons1) Worst stylus included in box and we need hit the touch screen to use it, which leads to disturb / fell down2) I hope hinges will not last long3) Due to glossy display it gives mirror effect, which is disturbing me a bit4) Worst speakers but we have 3.5 jack to connect external speakers
Read more", 29 July 2021
88,"5.0 out of 5 stars
Great portable touch screen monitor",5.0,"It is a great product and i am fully satisfied till now. It has a touch screen feature if connected to type c cable. It comes with a good quality accessories like PD type c cable, Type A to type c cable, hdmi input (mobile or laptop) to mini hdmi output (monitor). I have ROG phone 3 with Android 10 and it works well with it. I played Call of duty Mobile without any lag when connected with my phone. I also tried Amazon firestick and it works well (obviously without touch because it is connected with hdmi) Few things to note1. Touch screen will only work if you connect with Type C cable.2. If you are android user, make sure you have display out facility in your mobile. One Plus 6 does not have it.3. Touch screen will not work with hdmi cable.4. You won't need stylus because touch works very good. Stylus is not that good as it misses sometimes.5. Keep hdmi cable safe and secure because i could not find any alternate cable in market which has mini hdmi output. All other cables are mini hdmi input cables which goes into your cameras.6. The charger is of 60 Watts but the monitor requires only 10 watts. Rest all 50 watt will go to your mobile or laptop for charging which is great.7. Sound is not good. Who expects great sound from monitor. You can connect to 3.5 Jack if you want. You will connect this monitor with either mobile or computer which already has Bluetooth, and 3.5 Jack.8. Menu is not great but it is fine as it gets the job done.9. Build quality is good with aluminium back plate.10. If you need it for gaming, graphic designing, then don't go for it as it is only 60hz monitor with not accurate color rendering.
Read more", 20 July 2021
89,"4.0 out of 5 stars
It's best only with Type C 3.1 devices!!!",4.0,"Product is good but but buy only if you have type C3.1 devices and those devices are more costly than this, like starts from 30k and only few smartphones like Samsung, Pixel are having Type C3.1, So think before buying!!!!It's best if you already have those devices OrIf you can afford additional big bucks to get those devices!!!HDMI function doesn't support touch for Mobiles!!!So finally it's both Good and Not Good product because it's not good standalone, you have to buy it's relatives 😅 to make it good.
Read more", 31 March 2022
90,"5.0 out of 5 stars
With Mac mini m2 touchscreen",5.0,"This product touchscreen is working with Mac mini m2 only thing which is not good is there stylus which will get break easily and you need to buy different stylus for auto CAD
Read more", 18 November 2023
91,"1.0 out of 5 stars
Too expensive",1.0,"The product is highly expensive than it's usability. Moreover, the touch function is worst. They the Pencil given with is not at all usable. They should have given better Pencil or have reduced the price. Using this product from last one year.
Read more", 10 April 2023
92,"5.0 out of 5 stars
Good portables screen",5.0,"It's useful and portable. Overall no issues so far except sound from the monitor is low. You have to have bluetooth speaker connected.
Read more", 16 February 2023
93,"3.0 out of 5 stars
Monitor is pretty good but Do not buy this from amazon",3.0,"Monitor is pretty good but do not buy from amazon as the seller sends an old model of the touch pen with wierd outdated technology of tip (single tip non removable) and amazon is not willing to replace it as the pen is not mentioned as included item in the contents on its page however the pen is indeed an included accessory with this monitor.
Read more", 8 November 2023
94,"5.0 out of 5 stars
Awesome Product Go for It",5.0,"It is out of this world my dream of bezel less portable touch screen monitor completed with this product for MacBook Air 2017 , touch screen working with Hackintosh PC too containing Quad boot Setup Of Windows 10 WinToGo, Ubuntu external , Pheonix OS external SSD with YouTube Vanced Swipe Up pinch to Zoom All perfectly working i am amaze using it but whenever I kept connected  USB Type A to USB Type C for touch functionality it try to take power from CPU to power UP the monitor but unable to power why is that so?
Read more", 27 July 2021
95,"4.0 out of 5 stars
Bit costly, But very useful",4.0,"If you are looking for the portable touch monitor this is the right onePros1) Light weight2) Touch was smooth3) Multi connectivity4) Easy to carry in traveling5) Easy to connect with Laptop / PC, Mobile, Mi Box and Play Station6) Touch worked with HDMI (Use HDMI - Mini HDMI + Type C - Type A cable to machine, If you don't have Type C) & Type C (Just connect Type C - Type C cable, If your machine capable  for external display)7) All cables included in the box with 60watts charger8) Special thanks for providing the magnetic protection cover in box9) Picture Colors were goodCons1) Worst stylus included in box and we need hit the touch screen to use it, which leads to disturb / fell down2) I hope hinges will not last long3) Due to glossy display it gives mirror effect, which is disturbing me a bit4) Worst speakers but we have 3.5 jack to connect external speakers
Read more", 29 July 2021
96,"5.0 out of 5 stars
Great portable touch screen monitor",5.0,"It is a great product and i am fully satisfied till now. It has a touch screen feature if connected to type c cable. It comes with a good quality accessories like PD type c cable, Type A to type c cable, hdmi input (mobile or laptop) to mini hdmi output (monitor). I have ROG phone 3 with Android 10 and it works well with it. I played Call of duty Mobile without any lag when connected with my phone. I also tried Amazon firestick and it works well (obviously without touch because it is connected with hdmi) Few things to note1. Touch screen will only work if you connect with Type C cable.2. If you are android user, make sure you have display out facility in your mobile. One Plus 6 does not have it.3. Touch screen will not work with hdmi cable.4. You won't need stylus because touch works very good. Stylus is not that good as it misses sometimes.5. Keep hdmi cable safe and secure because i could not find any alternate cable in market which has mini hdmi output. All other cables are mini hdmi input cables which goes into your cameras.6. The charger is of 60 Watts but the monitor requires only 10 watts. Rest all 50 watt will go to your mobile or laptop for charging which is great.7. Sound is not good. Who expects great sound from monitor. You can connect to 3.5 Jack if you want. You will connect this monitor with either mobile or computer which already has Bluetooth, and 3.5 Jack.8. Menu is not great but it is fine as it gets the job done.9. Build quality is good with aluminium back plate.10. If you need it for gaming, graphic designing, then don't go for it as it is only 60hz monitor with not accurate color rendering.
Read more", 20 July 2021
97,"4.0 out of 5 stars
It's best only with Type C 3.1 devices!!!",4.0,"Product is good but but buy only if you have type C3.1 devices and those devices are more costly than this, like starts from 30k and only few smartphones like Samsung, Pixel are having Type C3.1, So think before buying!!!!It's best if you already have those devices OrIf you can afford additional big bucks to get those devices!!!HDMI function doesn't support touch for Mobiles!!!So finally it's both Good and Not Good product because it's not good standalone, you have to buy it's relatives 😅 to make it good.
Read more", 31 March 2022
98,"5.0 out of 5 stars
With Mac mini m2 touchscreen",5.0,"This product touchscreen is working with Mac mini m2 only thing which is not good is there stylus which will get break easily and you need to buy different stylus for auto CAD
Read more", 18 November 2023
99,"1.0 out of 5 stars
Too expensive",1.0,"The product is highly expensive than it's usability. Moreover, the touch function is worst. They the Pencil given with is not at all usable. They should have given better Pencil or have reduced the price. Using this product from last one year.
Read more", 10 April 2023
100,"5.0 out of 5 stars
Good portables screen",5.0,"It's useful and portable. Overall no issues so far except sound from the monitor is low. You have to have bluetooth speaker connected.
Read more", 16 February 2023
101,"3.0 out of 5 stars
Monitor is pretty good but Do not buy this from amazon",3.0,"Monitor is pretty good but do not buy from amazon as the seller sends an old model of the touch pen with wierd outdated technology of tip (single tip non removable) and amazon is not willing to replace it as the pen is not mentioned as included item in the contents on its page however the pen is indeed an included accessory with this monitor.
Read more", 8 November 2023
102,"5.0 out of 5 stars
Awesome Product Go for It",5.0,"It is out of this world my dream of bezel less portable touch screen monitor completed with this product for MacBook Air 2017 , touch screen working with Hackintosh PC too containing Quad boot Setup Of Windows 10 WinToGo, Ubuntu external , Pheonix OS external SSD with YouTube Vanced Swipe Up pinch to Zoom All perfectly working i am amaze using it but whenever I kept connected  USB Type A to USB Type C for touch functionality it try to take power from CPU to power UP the monitor but unable to power why is that so?
Read more", 27 July 2021
103,"4.0 out of 5 stars
Bit costly, But very useful",4.0,"If you are looking for the portable touch monitor this is the right onePros1) Light weight2) Touch was smooth3) Multi connectivity4) Easy to carry in traveling5) Easy to connect with Laptop / PC, Mobile, Mi Box and Play Station6) Touch worked with HDMI (Use HDMI - Mini HDMI + Type C - Type A cable to machine, If you don't have Type C) & Type C (Just connect Type C - Type C cable, If your machine capable  for external display)7) All cables included in the box with 60watts charger8) Special thanks for providing the magnetic protection cover in box9) Picture Colors were goodCons1) Worst stylus included in box and we need hit the touch screen to use it, which leads to disturb / fell down2) I hope hinges will not last long3) Due to glossy display it gives mirror effect, which is disturbing me a bit4) Worst speakers but we have 3.5 jack to connect external speakers
Read more", 29 July 2021
104,"5.0 out of 5 stars
Great portable touch screen monitor",5.0,"It is a great product and i am fully satisfied till now. It has a touch screen feature if connected to type c cable. It comes with a good quality accessories like PD type c cable, Type A to type c cable, hdmi input (mobile or laptop) to mini hdmi output (monitor). I have ROG phone 3 with Android 10 and it works well with it. I played Call of duty Mobile without any lag when connected with my phone. I also tried Amazon firestick and it works well (obviously without touch because it is connected with hdmi) Few things to note1. Touch screen will only work if you connect with Type C cable.2. If you are android user, make sure you have display out facility in your mobile. One Plus 6 does not have it.3. Touch screen will not work with hdmi cable.4. You won't need stylus because touch works very good. Stylus is not that good as it misses sometimes.5. Keep hdmi cable safe and secure because i could not find any alternate cable in market which has mini hdmi output. All other cables are mini hdmi input cables which goes into your cameras.6. The charger is of 60 Watts but the monitor requires only 10 watts. Rest all 50 watt will go to your mobile or laptop for charging which is great.7. Sound is not good. Who expects great sound from monitor. You can connect to 3.5 Jack if you want. You will connect this monitor with either mobile or computer which already has Bluetooth, and 3.5 Jack.8. Menu is not great but it is fine as it gets the job done.9. Build quality is good with aluminium back plate.10. If you need it for gaming, graphic designing, then don't go for it as it is only 60hz monitor with not accurate color rendering.
Read more", 20 July 2021
105,"4.0 out of 5 stars
It's best only with Type C 3.1 devices!!!",4.0,"Product is good but but buy only if you have type C3.1 devices and those devices are more costly than this, like starts from 30k and only few smartphones like Samsung, Pixel are having Type C3.1, So think before buying!!!!It's best if you already have those devices OrIf you can afford additional big bucks to get those devices!!!HDMI function doesn't support touch for Mobiles!!!So finally it's both Good and Not Good product because it's not good standalone, you have to buy it's relatives 😅 to make it good.
Read more", 31 March 2022
106,"5.0 out of 5 stars
With Mac mini m2 touchscreen",5.0,"This product touchscreen is working with Mac mini m2 only thing which is not good is there stylus which will get break easily and you need to buy different stylus for auto CAD
Read more", 18 November 2023
107,"1.0 out of 5 stars
Too expensive",1.0,"The product is highly expensive than it's usability. Moreover, the touch function is worst. They the Pencil given with is not at all usable. They should have given better Pencil or have reduced the price. Using this product from last one year.
Read more", 10 April 2023
108,"5.0 out of 5 stars
Good portables screen",5.0,"It's useful and portable. Overall no issues so far except sound from the monitor is low. You have to have bluetooth speaker connected.
Read more", 16 February 2023
109,"3.0 out of 5 stars
Monitor is pretty good but Do not buy this from amazon",3.0,"Monitor is pretty good but do not buy from amazon as the seller sends an old model of the touch pen with wierd outdated technology of tip (single tip non removable) and amazon is not willing to replace it as the pen is not mentioned as included item in the contents on its page however the pen is indeed an included accessory with this monitor.
Read more", 8 November 2023
110,"5.0 out of 5 stars
Awesome Product Go for It",5.0,"It is out of this world my dream of bezel less portable touch screen monitor completed with this product for MacBook Air 2017 , touch screen working with Hackintosh PC too containing Quad boot Setup Of Windows 10 WinToGo, Ubuntu external , Pheonix OS external SSD with YouTube Vanced Swipe Up pinch to Zoom All perfectly working i am amaze using it but whenever I kept connected  USB Type A to USB Type C for touch functionality it try to take power from CPU to power UP the monitor but unable to power why is that so?
Read more", 27 July 2021
111,"4.0 out of 5 stars
Bit costly, But very useful",4.0,"If you are looking for the portable touch monitor this is the right onePros1) Light weight2) Touch was smooth3) Multi connectivity4) Easy to carry in traveling5) Easy to connect with Laptop / PC, Mobile, Mi Box and Play Station6) Touch worked with HDMI (Use HDMI - Mini HDMI + Type C - Type A cable to machine, If you don't have Type C) & Type C (Just connect Type C - Type C cable, If your machine capable  for external display)7) All cables included in the box with 60watts charger8) Special thanks for providing the magnetic protection cover in box9) Picture Colors were goodCons1) Worst stylus included in box and we need hit the touch screen to use it, which leads to disturb / fell down2) I hope hinges will not last long3) Due to glossy display it gives mirror effect, which is disturbing me a bit4) Worst speakers but we have 3.5 jack to connect external speakers
Read more", 29 July 2021
112,"5.0 out of 5 stars
Great portable touch screen monitor",5.0,"It is a great product and i am fully satisfied till now. It has a touch screen feature if connected to type c cable. It comes with a good quality accessories like PD type c cable, Type A to type c cable, hdmi input (mobile or laptop) to mini hdmi output (monitor). I have ROG phone 3 with Android 10 and it works well with it. I played Call of duty Mobile without any lag when connected with my phone. I also tried Amazon firestick and it works well (obviously without touch because it is connected with hdmi) Few things to note1. Touch screen will only work if you connect with Type C cable.2. If you are android user, make sure you have display out facility in your mobile. One Plus 6 does not have it.3. Touch screen will not work with hdmi cable.4. You won't need stylus because touch works very good. Stylus is not that good as it misses sometimes.5. Keep hdmi cable safe and secure because i could not find any alternate cable in market which has mini hdmi output. All other cables are mini hdmi input cables which goes into your cameras.6. The charger is of 60 Watts but the monitor requires only 10 watts. Rest all 50 watt will go to your mobile or laptop for charging which is great.7. Sound is not good. Who expects great sound from monitor. You can connect to 3.5 Jack if you want. You will connect this monitor with either mobile or computer which already has Bluetooth, and 3.5 Jack.8. Menu is not great but it is fine as it gets the job done.9. Build quality is good with aluminium back plate.10. If you need it for gaming, graphic designing, then don't go for it as it is only 60hz monitor with not accurate color rendering.
Read more", 20 July 2021
113,"4.0 out of 5 stars
It's best only with Type C 3.1 devices!!!",4.0,"Product is good but but buy only if you have type C3.1 devices and those devices are more costly than this, like starts from 30k and only few smartphones like Samsung, Pixel are having Type C3.1, So think before buying!!!!It's best if you already have those devices OrIf you can afford additional big bucks to get those devices!!!HDMI function doesn't support touch for Mobiles!!!So finally it's both Good and Not Good product because it's not good standalone, you have to buy it's relatives 😅 to make it good.
Read more", 31 March 2022
114,"5.0 out of 5 stars
With Mac mini m2 touchscreen",5.0,"This product touchscreen is working with Mac mini m2 only thing which is not good is there stylus which will get break easily and you need to buy different stylus for auto CAD
Read more", 18 November 2023
115,"1.0 out of 5 stars
Too expensive",1.0,"The product is highly expensive than it's usability. Moreover, the touch function is worst. They the Pencil given with is not at all usable. They should have given better Pencil or have reduced the price. Using this product from last one year.
Read more", 10 April 2023
116,"5.0 out of 5 stars
Good portables screen",5.0,"It's useful and portable. Overall no issues so far except sound from the monitor is low. You have to have bluetooth speaker connected.
Read more", 16 February 2023
117,"3.0 out of 5 stars
Monitor is pretty good but Do not buy this from amazon",3.0,"Monitor is pretty good but do not buy from amazon as the seller sends an old model of the touch pen with wierd outdated technology of tip (single tip non removable) and amazon is not willing to replace it as the pen is not mentioned as included item in the contents on its page however the pen is indeed an included accessory with this monitor.
Read more", 8 November 2023
118,"5.0 out of 5 stars
Awesome Product Go for It",5.0,"It is out of this world my dream of bezel less portable touch screen monitor completed with this product for MacBook Air 2017 , touch screen working with Hackintosh PC too containing Quad boot Setup Of Windows 10 WinToGo, Ubuntu external , Pheonix OS external SSD with YouTube Vanced Swipe Up pinch to Zoom All perfectly working i am amaze using it but whenever I kept connected  USB Type A to USB Type C for touch functionality it try to take power from CPU to power UP the monitor but unable to power why is that so?
Read more", 27 July 2021
119,"4.0 out of 5 stars
Bit costly, But very useful",4.0,"If you are looking for the portable touch monitor this is the right onePros1) Light weight2) Touch was smooth3) Multi connectivity4) Easy to carry in traveling5) Easy to connect with Laptop / PC, Mobile, Mi Box and Play Station6) Touch worked with HDMI (Use HDMI - Mini HDMI + Type C - Type A cable to machine, If you don't have Type C) & Type C (Just connect Type C - Type C cable, If your machine capable  for external display)7) All cables included in the box with 60watts charger8) Special thanks for providing the magnetic protection cover in box9) Picture Colors were goodCons1) Worst stylus included in box and we need hit the touch screen to use it, which leads to disturb / fell down2) I hope hinges will not last long3) Due to glossy display it gives mirror effect, which is disturbing me a bit4) Worst speakers but we have 3.5 jack to connect external speakers
Read more", 29 July 2021
